Date,Transporteur,Zone_Destination,Distance_km,Cout_Total_MAD,Temps_Trajet_h,Volume_m3,Tarif_Transporteur_MAD_km,Prix_Carburant_MAD_L,Indice_Trafic,Cout_par_km,Cout_Attendu,Ecart_Cout
2024-08-23,Transco3,Tanger Centre,43.71,64.14,3.39,1.98,3.2172844359099675,10.52,7.3,1.47,140.62750269362468,76.48750269362468
2024-07-06,Transco1,Asilah,95.56,336.38,0.88,11.1,3.6761768019142185,14.51,5.8,3.52,351.2954551909227,14.915455190922728
2024-02-11,Transco2,Tétouan,75.88,191.46,1.23,11.27,3.948493709531344,12.53,3.8,2.52,299.61170267923836,108.15170267923835
2024-11-19,Transco2,Tétouan,63.88,278.86,4.54,13.11,2.138465427735168,14.13,8.3,4.37,136.60517152372253,142.25482847627748
2024-09-23,Transco2,Asilah,24.04,458.4,3.23,14.8,3.221699670775248,11.6,7.2,19.07,77.44966008543696,380.950339914563
2024-07-08,Transco1,Tétouan,15.23,234.67,0.96,10.81,3.428839505247164,11.95,9.2,15.41,52.22122566491431,182.4487743350857
2024-11-02,Transco3,Tanger Centre,87.96,390.0,3.49,7.14,2.542498868894514,10.05,8.4,4.43,223.63820050796141,166.36179949203859
2024-05-11,Transco3,Tanger Centre,64.1,152.96,0.52,16.11,2.530040636374035,14.53,9.5,2.39,162.1756047915756,9.2156047915756
2024-10-28,Transco1,Tanger Centre,73.73,84.64,1.22,6.15,2.01926777738512,10.46,7.5,1.15,148.8806132266049,64.2406132266049
2024-10-25,Transco2,Tanger Centre,97.29,122.55,3.61,2.49,4.925918983494238,14.75,4.8,1.26,479.2426579041545,356.6926579041545
2024-03-23,Transco3,Tanger Centre,84.92,468.36,3.43,1.48,4.7632805952863,14.75,9.4,5.52,404.4977881517126,63.862211848287416
2024-07-06,Transco3,Tanger Centre,29.11,413.65,1.51,19.29,4.376718300284011,12.87,8.8,14.21,127.40626972126756,286.2437302787324
2024-02-05,Transco1,Tétouan,26.36,335.03,3.7,16.88,2.107989993118604,13.16,1.4,12.71,55.566616218606406,279.4633837813936
2024-04-30,Transco3,Tétouan,37.38,411.65,1.96,8.77,2.752129556657502,11.47,4.4,11.01,102.87460282785743,308.77539717214256
2024-12-16,Transco3,Tétouan,57.23,133.96,3.86,4.29,2.122203335304341,11.64,8.3,2.34,121.45369687946743,12.506303120532579
2024-01-29,Transco2,Tétouan,48.88,451.65,3.42,3.97,2.239691029299758,13.36,9.9,9.24,109.47609751217217,342.17390248782783
2024-05-28,Transco2,Tétouan,36.21,292.7,4.32,5.75,4.584246312898889,13.76,2.4,8.08,165.9955589900688,126.7044410099312
2024-05-21,Transco2,Tétouan,65.07,413.35,3.46,11.44,3.984307032766878,13.96,6.3,6.35,259.25885862214074,154.0911413778593
2024-07-20,Transco1,Tétouan,22.55,453.24,3.06,14.58,3.933714257236996,13.95,4.4,20.1,88.70525650069426,364.53474349930576
2024-11-18,Transco2,Tétouan,36.29,193.1,0.92,13.54,2.627915065982683,10.46,9.7,5.32,95.36703774451156,97.73296225548843
2024-11-28,Transco3,Tétouan,42.97,99.52,2.15,6.32,2.1290104739253985,12.47,8.6,2.32,91.48358006457437,8.036419935425627
2024-05-21,Transco1,Tanger Centre,51.05,152.57,1.69,19.14,4.2593578017823805,10.29,8.5,2.99,217.4402157809905,64.87021578099052
2024-10-19,Transco2,Tétouan,80.67,242.2,1.6,15.02,2.0294376363083955,12.75,5.2,3.0,163.71473412099826,78.48526587900173
2024-03-22,Transco3,Asilah,27.97,418.11,4.88,11.53,2.960795866946429,12.21,4.7,14.95,82.81346039849161,335.2965396015084
2024-02-04,Transco3,Asilah,56.28,437.33,2.27,12.62,2.733395156704145,14.44,3.5,7.77,153.83547941930928,283.49452058069073
2024-06-26,Transco2,Tétouan,63.32,53.13,4.51,8.97,3.364996752897901,11.75,1.5,0.84,213.0715943934951,159.9415943934951
2024-03-06,Transco2,Asilah,14.18,279.84,3.34,5.71,3.907283934623976,10.59,8.8,19.73,55.40528619296798,224.43471380703198
2024-05-29,Transco3,Tétouan,64.68,237.83,4.08,7.76,4.280540790510889,10.71,8.3,3.68,276.8653783302443,39.0353783302443
2024-12-28,Transco2,Tanger Centre,25.35,149.95,2.76,15.4,2.9518697845664152,13.81,10.0,5.92,74.82989903875863,75.12010096124136
2024-04-10,Transco2,Tanger Centre,15.85,103.94,3.1,1.27,3.1744285158396885,13.09,10.0,6.56,50.31469197605906,53.62530802394094
2024-09-21,Transco3,Tétouan,95.4,201.93,2.72,3.21,4.271256992830837,10.51,6.0,2.12,407.4779171160619,205.5479171160619
2024-03-10,Transco2,Tanger Centre,96.91,474.31,1.38,1.87,3.438108150881249,10.42,7.9,4.89,333.1870609019018,141.1229390980982
2024-02-20,Transco2,Tanger Centre,82.76,195.44,3.75,1.77,3.820277466945869,13.5,9.5,2.36,316.16616316444015,120.72616316444015
2024-02-28,Transco2,Tanger Centre,37.42,283.46,1.76,17.25,4.326231749419317,10.36,8.6,7.58,161.88759206327083,121.57240793672915
2024-02-13,Transco2,Asilah,18.79,366.36,0.61,14.37,4.155361857154524,14.11,3.2,19.5,78.07924929593351,288.2807507040665
2024-03-06,Transco1,Asilah,71.58,213.63,3.4,10.01,4.717495909093785,13.53,5.1,2.98,337.6783571729331,124.0483571729331
2024-01-12,Transco1,Tanger Centre,49.61,487.3,1.3,2.86,4.086096159100008,10.41,2.2,9.82,202.7112304529514,284.5887695470486
2024-05-10,Transco1,Tanger Centre,20.98,483.1,4.73,10.34,4.525600411050984,10.42,9.6,23.03,94.94709662384965,388.1529033761504
